Textkey,-,string,string,string,string,string,string,string,string,string,string,string,string,_
BUILDABLE_NAME_17,"Building name - Keep this name as long as it appears, do not modify",Library,Biblioteca,BIBLIOTHECA,Библиотека,Bibliothek,Bibliothèque,图书馆,図書館,Biblioteca,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_18,"Building name - Keep this name as long as it appears, do not modify",School,Escuela,SCHOLA,Школа,Schule,École,学校,学校,Escola,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_19,"Building name - Keep this name as long as it appears, do not modify",Temple of Apollo <sprite=162>,Templo de Apolo <sprite=162>,TEMPLVM APOLLINIS <sprite=162>,Храм Аполлона <sprite=162>,Tempel des Apollo <sprite=162>,Temple d'Apollon <sprite=162>,阿波罗神庙 <sprite=162>,アポロ神殿 <sprite=162>,Templo de Apolo <sprite=162>,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_20,"Building name - Keep this name as long as it appears, do not modify",Temple of Minerva <sprite=167>,Templo de Minerva <sprite=167>,TEMPLVM MINERVAE <sprite=167>,Храм Минервы <sprite=167>,Tempel der Minerva <sprite=167>,Temple de Minerve <sprite=167>,密涅瓦神庙 <sprite=167>,ミネルバ神殿 <sprite=167>,Templo de Minerva <sprite=167>,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_21,"Building name - Keep this name as long as it appears, do not modify",Temple of Ceres <sprite=164>,Templo de Ceres <sprite=164>,TEMPLVM CERERI <sprite=164>,Храм Цереры <sprite=164>,Tempel der Ceres <sprite=164>,Temple de Cérès  <sprite=164>,克瑞斯神庙  <sprite=164>,セレス神殿  <sprite=164>,Templo de Ceres <sprite=164>,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_22,"Building name - Keep this name as long as it appears, do not modify",Temple of Mars <sprite=165>,Templo de Marte <sprite=165>,TEMPLVM MARTIS <sprite=165>,Храм Марса <sprite=165>,Tempel des Mars <sprite=165>,Temple de Mars <sprite=165>,战神神庙 <sprite=165>,マルス神殿 <sprite=165>,Templo de Marte <sprite=165>,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_23,"Building name - Keep this name as long as it appears, do not modify",Temple of Jupiter <sprite=163>,Templo de Júpiter <sprite=163>,TEMPLVM IOVIS <sprite=163>,Храм Юпитера <sprite=163>,Tempel des Jupiter <sprite=163>,Temple de Jupiter <sprite=163>,朱庇特神庙 <sprite=163>,ジュピター神殿 <sprite=163>,Templo de Júpiter <sprite=163>,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_24,"Building name - Keep this name as long as it appears, do not modify",Temple of Pluto <sprite=166>,Templo de Plutón <sprite=166>,TEMPLVM PLVTONIS <sprite=166>,Храм Плутона <sprite=166>,Tempel des Pluto <sprite=166>,Temple de Pluton <sprite=166>,冥王神庙 <sprite=166>,プルート神殿 <sprite=166>,Templo de Plutão <sprite=166>,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_26,"Building name - Keep this name as long as it appears, do not modify",Wheat field,Campo de trigo,"AGRO TRITICI",Поле пшеницы,Weizenfeld,Champ de blé,小麦田,小麦畑,Campo de trigo,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_27,"Building name - Keep this name as long as it appears, do not modify",Flax field,Campo de lino,AGRO LINI,Поле хлопка,Leinfeld,Champ de lin,亚麻田,亜麻畑,Campo de linho,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_28,"Building name - Keep this name as long as it appears, do not modify",Carrot orchard,Huerto de zanahorias,HORTVS CAROTARVM,Плантация моркови,Karottengarten,Culture de carottes,胡萝卜园,ニンジン畑,Plantação de cenoura,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_29,"Building name - Keep this name as long as it appears, do not modify",Grape orchard,Huerto de uvas,AGRO VITIUM,Плантация винограда,Traubengarten,Culture de raisins,葡萄园,ブドウ畑,Plantação de uva,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_30,"Building name - Keep this name as long as it appears, do not modify",Onion orchard,Huerto de cebollas,HORTVS CEPAE,Плантация лука,Zwiebelgarten,Culture d'oignons,洋葱园,タマネギ畑,Plantação de cebola,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_31,"Building name - Keep this name as long as it appears, do not modify",Melon orchard,Huerto de melones,HORTVS MELONUM,Плантация дыни,Melonengarten,Culture de melons,瓜园,メロン畑,Plantação de melão,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_32,"Building name - Keep this name as long as it appears, do not modify",Cabbage orchard,Huerto de coles,HORTVS BRASSICAE,Плантация капусты,Krautgarten,Culture de choux,卷心菜园,キャベツ畑,Plantação de repolho,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_33,"Building name - Keep this name as long as it appears, do not modify",Medicinal herbs orchard,Huerto de plantas medicinales,HORTVS HERBARVM MEDICINALIVM,Плантация лекарственных трав,Heilkräutergarten,Culture de plantes médicinales,药草园,薬草畑,Plantação de ervas medicinais,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_34,"Building name - Keep this name as long as it appears, do not modify",Fishing dock,Muelle de pesca,PORTVS PISCATORIVS,Рыбацкая пристань,Angelsteg,Quai de pêche,捕鱼码头,釣りドック,Cais de pesca,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_35,"Building name - Keep this name as long as it appears, do not modify",Pig farm,Granja de cerdos,STABVLVM PORCORVM,Ферма свиней,Schweinefarm,Élevage de cochons,养猪场,養豚場,Chiqueiro,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_36,"Building name - Keep this name as long as it appears, do not modify",Chicken farm,Granja de pollos,STABVLVM GALLINARVM,Ферма кур,Hühnerfarm,Élevage de poulets,养鸡场,養鶏場,Galinheiro,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_37,"Building name - Keep this name as long as it appears, do not modify",Cow farm,Granja de vacas,STABVLVM VACARVM,Ферма коров,Kuhfarm,Élevage de vaches,养牛场,牛牧場,Curral,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_38,"Building name - Keep this name as long as it appears, do not modify",Logging camp,Campamento maderero,CASTRA LIGNARIORVM,Лагерь лесорубов,Holzfällerlager,Exploitation forestière,伐木场,伐採キャンプ,Acampamento madeireiro,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_39,"Building name - Keep this name as long as it appears, do not modify",Stone quarry,Extracción de piedra,LAPIS MINAE,Каменоломня,Steinbergbau,Carrière de pierres,采石场,石切り場,Pedreira,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_40,"Building name - Keep this name as long as it appears, do not modify",Iron mine,Extracción de hierro,MINA FERRI,Железная шахта,Eisenwerk,Mine de fer,铁矿场,鉄鉱山,Mina de ferro,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_41,"Building name - Keep this name as long as it appears, do not modify",Sawmill,Aserradero,SERRAMENTVM,Лесопилка,Sägewerk,Scierie,锯木厂,製材所,Serraria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_42,"Building name - Keep this name as long as it appears, do not modify",Stonecutter,Taller de cantería,FABER LAPIDARIVS,Мастерская каменотёсов,Steinmetz,Tailleur de pierre,石匠作坊,石切り,Oficina de cantaria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_43,"Building name - Keep this name as long as it appears, do not modify",Swordsmith,Forja de espadas,FABER GLADII,Кузница мечей,Schwertschmied,Forgeron,铸剑作坊,刀鍛冶,Forja de espadas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_44,"Building name - Keep this name as long as it appears, do not modify",Bakery,Panadería,PISTRINVM,Пекарня,Bäckerei,Boulangerie,面包房,パン屋,Padaria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_45,"Building name - Keep this name as long as it appears, do not modify",Butchery,Carnicería,MACELLVM,Скотобойня,Metzgerei,Boucherie,屠宰场,肉屋,Açougue,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_46,"Building name - Keep this name as long as it appears, do not modify",Fishmonger,Pescadería,PISCARIA,Рыбная лавка,Fischhändler,Poissonnier,鱼市,魚屋,Peixaria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_47,"Building name - Keep this name as long as it appears, do not modify",Winery,Fábrica de vino,CELLA VINARIA,Винодельня,Kellerei,Domaine viticole,酿酒厂,ワイナリー,Vinícola,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_48,"Building name - Keep this name as long as it appears, do not modify",Weaver,Telar,TELARIVM,Ткацкая мастерская,Weberei,Tisserand,织布工坊,織工,Tecelagem,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_49,"Building name - Keep this name as long as it appears, do not modify",Granary,Granero,NVBILARIVM,Амбар,Getreidespeicher,Grenier,粮仓,穀物倉庫,Celeiro,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_50,"Building name - Keep this name as long as it appears, do not modify",Warehouse,Almacén,APOTHECA,Склад,Lagerhaus,Entrepôt,仓库,倉庫,Armazém,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_51,"Building name - Keep this name as long as it appears, do not modify",Armory,Armería,ARMAMENTARIVM,Арсенал,Arsenal,Arsenal,军械库,武器庫,Arsenal,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_52,"Building name - Keep this name as long as it appears, do not modify",Forum,Foro,FORVM,Форум,Forum,Forum,广场,フォーラム,Fórum,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_53,"Building name - Keep this name as long as it appears, do not modify",Infantry training building,Entrenamiento de infantería,CASTRVM PEDITVM,Училище пехоты,Ausbildungsgebäude für Infanterie,Bâtiment de formation de l'infanterie,步兵训练营,歩兵隊訓練棟,Treinamento de infantaria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_54,"Building name - Keep this name as long as it appears, do not modify",Archer training building,Entrenamiento de arqueros,CASTRVM SAGITARIORVM,Училище лучников,Ausbildungsgebäude für Bogenschützen,Bâtiment de formation des archers,弓箭手训练营,弓兵隊訓練棟,Treinamento de arqueria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_55,"Building name - Keep this name as long as it appears, do not modify",Cavalry training building,Entrenamiento de caballería,CASTRVM EQUITVM,Училище всадников,Ausbildungsgebäude für Kavallerie,Bâtiment de formation de la cavalerie,骑兵训练营,騎兵隊訓練棟,Treinamento de cavalaria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_56,"Building name - Keep this name as long as it appears, do not modify",Centurion training building,Entrenamiento de centuriones,CASTRVM CENTVRIONVM,Училище центурионов,Ausbildungsgebäude für Zenturien,Bâtiment de formation des centurions,百夫长训练营,百人隊長訓練棟,Treinamento de centuriões,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_57,"Building name - Keep this name as long as it appears, do not modify",Explorer training building,Entrenamiento de exploradores,CASTRVM EXPLORATORVM,Училище разведчиков,Ausbildungsgebäude für Erkunder,Bâtiment de formation des explorateurs,探子训练营,探検隊員訓練棟,Treinamento de exploradores,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_58,"Building name - Keep this name as long as it appears, do not modify",Guard training building,Entrenamiento de guardias,CASTRVM CVSTODVM,Училище стражников,Ausbildungsgebäude für Wachen,Bâtiment de formation des gardes,守卫训练营,衛兵訓練棟,Treinamento de guardas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_59,"Building name - Keep this name as long as it appears, do not modify",Guard post,Puesto de vigilancia,SPECVLATORIVM,Пост стражи,Wachposten,Poste de garde,守卫岗哨,衛兵配置所,Posto de guarda,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_60,"Building name - Keep this name as long as it appears, do not modify",Watchtower,Torre de vigilancia,TVRRIS,Сторожевая вышка,Wachturm,Tour de guet,瞭望塔,監視塔,Torre de vigia,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_61,"Building name - Keep this name as long as it appears, do not modify",Wall,Muralla,MVRVS,Стена,Mauer,Rempart,城墙,壁,Muralha,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_62,"Building name - Keep this name as long as it appears, do not modify",Wall gate,Puerta de muralla,PORTA MVRI,Стена с воротами,Mauertor,Porte de rempart,城墙门,壁門,Portão,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_65,"Building name - Keep this name as long as it appears, do not modify",Garden,Jardín,HORTVS,Сад,Garten,Jardin,花园,庭園,Jardim,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_69,"Building name - Keep this name as long as it appears, do not modify",Tiled floor,Suelo de baldosas,SOLVM TESSELLATVM,Плитка,Fliesenboden,Sol carrelé,瓷砖地板,タイル張りの床,Piso de ladrilhos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_70,"Building name - Keep this name as long as it appears, do not modify",Tree,Árbol,ARBOR,Дерево,Baum,Arbre,树木,樹木,Árvore,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_71,"Building name - Keep this name as long as it appears, do not modify",Topiary arch,Arco topiario,ARCVS TOPIARIVS,Арка из живой изгороди,Spitzbogen,Arche topiaire,树艺拱门,トピアリーアーチ,Arco de topiaria,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_72,"Building name - Keep this name as long as it appears, do not modify",Marble arch,Arco de mármol,ARCVS MARMOREVS,Мраморная арка,Marmorbogen,Arche en marbre,大理石拱门,大理石アーチ,Arco de mármore,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_73,"Building name - Keep this name as long as it appears, do not modify",Triumphal arch,Arco de triunfo,ARCVS TRIVMPHALIS,Триумфальная арка,Triumphbogen,Arc de triomphe,凯旋门,凱旋門,Arco do triunfo,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_74,"Building name - Keep this name as long as it appears, do not modify",Sign,Cartel,TITVLVS,Знак,Schild,Panneau,标志,標識,Placa,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_75,"Building name - Keep this name as long as it appears, do not modify",Monumental column,Columna monumental,COLVMNA MONVMENTALIS,Монументальная колонна,Monumentalsäule,Colonne monumentale,纪念碑,記念柱,Coluna monumental,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_76,"Building name - Keep this name as long as it appears, do not modify",Obelisk,Obelisco,OBELISCVS,Обелиск,Obelisk,Obélisque,方尖碑,オベリスク,Obelisco,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_77,"Building name - Keep this name as long as it appears, do not modify",Monopteros,Monóptero,MONOPTERON,Моноптер,Säulentempel,Monoptère,圆形柱廊,モノプテロス,Monóptero,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_78,"Building name - Keep this name as long as it appears, do not modify",Mosaic plaza,Plaza del mosaico,FORVM MVSAICVM,Мозаичная площадь,Mosaik-Plaza,Place en mosaïque,马赛克广场,モザイク広場,Praça do mosaico,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_79,"Building name - Keep this name as long as it appears, do not modify",Large statue,Gran estatua,STATUA MAGNA,Большая статуя,Große Statue,Grande statue,雕像,大きな像,Estátua grande,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_80,"Building name - Keep this name as long as it appears, do not modify",Colossus,Coloso,COLOSSVS,Колосс,Koloss,Colosse,巨像,巨像,Colosso,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_81,"Building name - Keep this name as long as it appears, do not modify",Equestrian statue,Estatua ecuestre,STATVA EQVESTRIS,Статуя всадника,Reiterstatue,Statue équestre,骑马雕像,騎馬像,Estátua equestre,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_82,"Building name - Keep this name as long as it appears, do not modify",Gladiator statue,Estatua de gladiador,STATVA GLADIATORIS,Статуя гладиатора,Gladiatorenstatue,Statue de gladiateur,角斗士雕像,剣闘士像,Estátua de gladiador,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_83,"Building name - Keep this name as long as it appears, do not modify",Lion statue,Estatua del león,STATVA LEONIS,Статуя льва,Löwenstatue,Statue de lion,狮子雕像,ライオン像,Estátua de leão,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_84,"Building name - Keep this name as long as it appears, do not modify",Capitoline She-wolf,Loba capitolina,LVPA CAPITOLINA,Капитолийская волчица,Kapitolinische Wölfin,Louve capitoline,母狼像,カピトリーナの女狼,Loba Capitolina,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_86,"Building name - Keep this name as long as it appears, do not modify",Fountain plaza,Plaza de la fuente,FORVM FONTIS,Площадь с фонтаном,Springbrunnen-Plaza,Place avec fontaine,喷泉广场,噴水広場,Praça da fonte,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_87,"Building name - Keep this name as long as it appears, do not modify",Square fountain,Fuente cuadrada,IMPLVVIUM,Квадратный фонтан,Quadratischer Springbrunnen,Fontaine carrée,方形喷泉,四角形の噴水,Fonte quadrada,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_88,"Building name - Keep this name as long as it appears, do not modify",Round fountain,Fuente redonda,FONS ROTVNDVS,Круглый фонтан,Runder Springbrunnen,Fontaine ronde,圆形喷泉,円形の噴水,Fonte redonda,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_89,"Building name - Keep this name as long as it appears, do not modify",Bridge,Puente,PONS,Мост,Brücke,Pont,桥梁,橋,Ponte,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_90,"Building name - Keep this name as long as it appears, do not modify",Fire station,Cuartel antiincendios,VIGILES,Пост пожарных,Feuerwache,Caserne de pompiers,消防站,消防署,Quartel dos Bombeiros,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_91,"Building name - Keep this name as long as it appears, do not modify",Roman colonnade,Columnata romana,COLVMNATA,Римская колоннада,Römische Kolonnade,Colonnade romaine,罗马柱廊,ローマ式列柱,Colunata romana,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_92,"Building name - Keep this name as long as it appears, do not modify",Hedge,Muro de arbusto,MVRVS EX VILGVRTIS,Живая изгородь,Hecke,Haie,树篱,垣根,Cerca viva,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_93,"Building name - Keep this name as long as it appears, do not modify",Brick wall,Muro de ladrillo,MVRVS LATERICIVS,Кирпичная стена,Backsteinmauer,Mur en briques,砖墙,レンガの壁,Parede de tijolos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_94,"Building name - Keep this name as long as it appears, do not modify",Brick gate,Puerta de ladrillo,PORTA LATERICIA,Кирпичные ворота,Ziegelsteintor,Porte en briques,砖门,レンガの門,Portão de tijolos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_95,"Building name - Keep this name as long as it appears, do not modify",Recruits' barracks,Barracón de reclutas,CASTRA NOVICIA,Казармы новобранцев,Kaserne für Rekruten,Caserne de recrues,新兵营房,新兵舎,Quartel de recrutas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_96,"Building name - Keep this name as long as it appears, do not modify",Armor workshop,Taller de armaduras,OFFICINA ARMATVRARVM,Мастерская доспехов,Werkstatt für Rüstungen,Atelier d'armures,护甲作坊,鎧工房,Oficina de armaduras,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_97,"Building name - Keep this name as long as it appears, do not modify",Bow workshop,Taller de arcos,OFFICINA ARCVVM,Мастерская луков,Werkstatt für Bogen,Atelier d'arcs,弓箭作坊,弓工房,Oficina de arcos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_98,"Building name - Keep this name as long as it appears, do not modify",Shield workshop,Taller de escudos,OFFICINA SCVTORVM,Мастерская щитов,Werkstatt für Schilde,Atelier de boucliers,盾牌作坊,盾工房,Oficina de escudos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
BUILDABLE_NAME_99,"Building name - Keep this name as long as it appears, do not modify",Furniture workshop,Taller de muebles,OFFICINA SVPELLECTILIS,Мебельная мастерская,Werkstatt für Möbel,Atelier de meubles,家具作坊,家具工房,Oficina de móveis,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
